,dateFixed,no_of_cases,delayedDate,meanTemp,averageRainfall,peakDailyRainfall,meanHumidityDaily
50,2018-04-01,24,2018-04-15,29.5,4.371428571428572,14.0,78.5
51,2018-05-01,55,2018-05-15,29.299999999999997,6.957894736842104,47.4,79.0
52,2018-06-01,64,2018-06-15,28.450000000000003,10.741176470588234,46.8,79.3
53,2018-07-01,75,2018-07-15,28.65,14.319999999999999,32.4,77.7
54,2018-08-01,56,2018-08-15,28.9,11.054545454545455,34.6,77.0
55,2018-09-01,66,2018-09-15,28.25,11.107692307692307,45.0,77.1
56,2018-10-01,40,2018-10-15,28.549999999999997,13.022222222222222,60.6,79.7
57,2018-11-01,78,2018-11-15,27.8,6.281481481481482,20.6,83.2
58,2018-12-01,97,2018-12-15,28.450000000000003,9.08421052631579,43.8,81.5
59,2019-01-01,160,2019-01-15,28.65,7.066666666666666,38.2,75.6
60,2019-02-01,221,2019-02-15,29.099999999999998,6.32,13.4,74.1
61,2019-03-01,181,2019-03-15,29.55,12.033333333333333,29.0,72.3
62,2019-04-01,99,2019-04-15,29.3,19.422222222222224,52.4,77.6
63,2019-05-01,156,2019-05-15,29.6,5.3076923076923075,17.2,79.2
64,2019-06-01,376,2019-06-15,28.700000000000003,10.8625,37.6,79.5
65,2019-07-01,492,2019-07-15,29.5,1.525,6.6,75.2
66,2019-08-01,601,2019-08-15,29.900000000000002,1.9666666666666668,3.8,72.1
67,2019-09-01,412,2019-09-15,29.8,5.7,16.4,73.0
68,2019-10-01,258,2019-10-15,29.0,11.786666666666667,92.2,78.1
69,2019-11-01,241,2019-11-15,28.849999999999998,9.16,73.4,79.2
70,2019-12-01,295,2019-12-15,27.35,30.107142857142858,74.2,83.9
71,2020-01-01,290,2020-01-15,28.45,14.733333333333334,38.0,77.9
72,2020-02-01,307,2020-02-15,28.5,8.125,23.8,76.0
73,2020-03-01,373,2020-03-15,29.4,13.6,47.4,75.2
74,2020-04-01,377,2020-04-15,29.5,15.666666666666666,51.8,76.4
75,2020-05-01,399,2020-05-15,29.150000000000002,15.975,53.8,79.1
76,2020-06-01,731,2020-06-15,28.25,11.133333333333335,41.0,80.2
77,2020-07-01,1460,2020-07-15,28.25,6.4,30.4,78.2
78,2020-08-01,1791,2020-08-15,28.65,8.616666666666667,34.6,76.8
79,2020-09-01,1153,2020-09-15,27.95,8.344444444444443,32.8,79.0
80,2020-10-01,590,2020-10-15,28.6,4.925,19.0,75.4
81,2020-11-01,440,2020-11-15,28.0,11.610526315789473,64.2,81.7
82,2020-12-01,279,2020-12-15,28.0,12.66,58.2,81.1
