dateFixed,meanTemp,averageRainfall,peakDailyRainfall,meanHumidityDaily
2016-01-01,28.9,8.44,39.6,79.6
2015-12-01,28.25,15.894736842105264,40.4,81.1
2015-11-01,28.8,5.584615384615384,25.8,79.1
2015-10-01,29.150000000000002,9.68888888888889,28.6,75.4
2015-09-01,29.1,7.7,18.4,75.0
2015-08-01,28.6,16.89090909090909,63.2,76.7
2015-07-01,29.299999999999997,8.984615384615385,45.8,74.9
2015-06-01,29.3,9.58,28.4,75.8
2015-05-01,29.3,7.416666666666667,22.2,78.9
2015-04-01,29.55,5.630769230769231,18.8,77.1
2015-03-01,29.0,16.880000000000003,46.0,75.8
2015-02-01,27.85,3.1333333333333333,10.8,75.4
2015-01-01,27.65,13.266666666666666,33.6,77.6
2014-12-01,27.65,14.447058823529412,48.2,82.6
2014-11-01,28.200000000000003,10.904347826086957,64.4,82.4
2014-10-01,28.9,12.0,32.8,77.0
2014-09-01,28.75,9.288888888888888,34.6,75.6
2014-08-01,27.799999999999997,12.05,44.2,79.7
2014-07-01,28.700000000000003,9.906666666666666,29.0,78.3
2014-06-01,29.200000000000003,6.490909090909091,18.8,77.5
2014-05-01,28.950000000000003,6.988888888888889,22.4,80.2
2014-04-01,28.95,6.470588235294118,28.8,80.0
2014-03-01,28.95,11.0,52.6,76.0
2014-02-01,28.2,0.2,0.2,74.5
2014-01-01,26.8,15.080000000000002,31.2,78.5
